Commune,ID,MeanRT,MeanCases,Sum_AE,LOC_RISK,JAN_EVI_ME,OCT_EVI_ME,JAN_LST_ME,OCT_LST_ME,JAN_NDVI_M,OCT_NDVI_M,Dep_RT,Casa_RT,Piez_RT,Med_RT,Ranch_RT,Ruca_RT,Movil_RT,col_rt,x,y,long,lat
Providencia                                                                                                                                                                                                                                                   , 289,    0.2482,    0.3000,   0,       0.0000000000, 1.64703145623e-001, 1.59136503935e-001, 3.71973838806e+001, 2.99768600464e+001, 3.16392898560e-001, 3.26711744070e-001,    0.7981,    0.1847,    0.0030,    0.0002,    0.0003,    0.0000,    0.0000,    0.0097, 3.50e+005, 6.30e+006,-7.06e+001,-3.34e+001
Quinta Normal                                                                                                                                                                                                                                                 , 290,    0.1923,    0.2000,   0,       0.0000000000, 1.35414108634e-001, 1.19639739394e-001, 4.28010025024e+001, 3.38511276245e+001, 2.31966048479e-001, 2.30263158679e-001,    0.0476,    0.8532,    0.0527,    0.0286,    0.0010,    0.0000,    0.0004,    0.0031, 3.42e+005, 6.30e+006,-7.07e+001,-3.34e+001
Recoleta                                                                                                                                                                                                                                                      , 291,    0.5397,    0.8000,   3,       0.0000000000, 1.49336442351e-001, 1.65170505643e-001, 4.07621688843e+001, 3.31295242310e+001, 2.90219247341e-001, 3.00286352634e-001,    0.1535,    0.7682,    0.0349,    0.0334,    0.0007,    0.0000,    0.0002,    0.0028, 3.48e+005, 6.30e+006,-7.06e+001,-3.34e+001
Renca                                                                                                                                                                                                                                                         , 292,    0.2247,    0.3000,   0,       0.0000000000, 1.90740361810e-001, 2.12808310986e-001, 4.24819946289e+001, 3.27487144470e+001, 2.98152118921e-001, 3.86474788189e-001,    0.1726,    0.7407,    0.0169,    0.0636,    0.0013,    0.0000,    0.0001,    0.0010, 3.39e+005, 6.30e+006,-7.07e+001,-3.34e+001
San Joaquin                                                                                                                                                                                                                                                   , 293,    0.1024,    0.1000,   0,       0.0000000000, 1.12534373999e-001, 1.09439536929e-001, 4.12306709290e+001, 3.32970962524e+001, 1.88907846808e-001, 2.07812145352e-001,    0.1266,    0.8228,    0.0221,    0.0194,    0.0007,    0.0000,    0.0003,    0.0024, 3.49e+005, 6.29e+006,-7.06e+001,-3.35e+001
San Miguel                                                                                                                                                                                                                                                    , 294,    0.2536,    0.2000,   0,       0.0000000000, 1.27808287740e-001, 1.26532107592e-001, 4.07625961304e+001, 3.34671020508e+001, 2.23175048828e-001, 2.48309001327e-001,    0.2879,    0.6567,    0.0285,    0.0161,    0.0004,    0.0000,    0.0001,    0.0031, 3.47e+005, 6.29e+006,-7.07e+001,-3.35e+001
San Ramon                                                                                                                                                                                                                                                     , 295,    0.5268,    0.5000,   0,       0.0000000000, 1.27877652645e-001, 1.17183275521e-001, 4.12323188782e+001, 3.28716354370e+001, 2.13729321957e-001, 2.33155891299e-001,    0.1118,    0.7851,    0.0318,    0.0621,    0.0010,    0.0000,    0.0002,    0.0020, 3.48e+005, 6.29e+006,-7.06e+001,-3.35e+001
Independencia                                                                                                                                                                                                                                                 , 296,    0.3054,    0.2000,   1,       0.0000000000, 1.27740055323e-001, 1.18435442448e-001, 4.24031448364e+001, 3.36062278748e+001, 2.24600195885e-001, 2.28611811996e-001,    0.2440,    0.6988,    0.0356,    0.0071,    0.0003,    0.0000,    0.0001,    0.0058, 3.45e+005, 6.30e+006,-7.07e+001,-3.34e+001
Puente Alto                                                                                                                                                                                                                                                   , 297,    0.1623,    0.8000,   0,       0.0000000000, 1.85092508793e-001, 2.16254606843e-001, 3.77757987976e+001, 2.99463806152e+001, 3.25670510530e-001, 4.08187508583e-001,    0.1278,    0.8506,    0.0041,    0.0143,    0.0004,    0.0000,    0.0000,    0.0010, 3.55e+005, 6.28e+006,-7.06e+001,-3.36e+001
Los Condes                                                                                                                                                                                                                                                    , 298,    0.1601,    0.4000,   1,       0.0000000000, 1.90298318863e-001, 1.92250788212e-001, 3.38409652710e+001, 2.64034309387e+001, 3.62604141235e-001, 4.29398953915e-001,    0.5772,    0.4084,    0.0008,    0.0034,    0.0001,    0.0000,    0.0000,    0.0033, 3.60e+005, 6.30e+006,-7.05e+001,-3.34e+001
