Commune,ID,MeanRT,MeanCases,Sum_AE,LOC_RISK,JAN_EVI_ME,OCT_EVI_ME,JAN_LST_ME,OCT_LST_ME,JAN_NDVI_M,OCT_NDVI_M,Dep_RT,Casa_RT,Piez_RT,Med_RT,Ranch_RT,Ruca_RT,Movil_RT,col_rt,x,y,long,lat
Huara                                                                                                                                                                                                                                                         ,   1,    3.8476,    0.1000,   1,       3.1129907354, 5.46515844762e-002, 5.44500015676e-002, 4.00371170044e+001, 4.20104751587e+001, 8.28104764223e-002, 8.27118456364e-002,    0.0000,    0.7954,    0.0145,    0.1093,    0.0624,    0.0000,    0.0010,    0.0110, 4.30e+005, 7.83e+006,-6.97e+001,-1.96e+001
Colchane                                                                                                                                                                                                                                                      ,   2,    0.0000,    0.0000,   0,       0.0000000000, 7.41483643651e-002, 6.95394873619e-002, 3.09517040253e+001, 3.54466972351e+001, 1.22980900109e-001, 1.09519913793e-001,    0.0000,    0.1207,    0.0022,    0.2759,    0.5898,    0.0000,    0.0014,    0.0086, 5.16e+005, 7.86e+006,-6.88e+001,-1.94e+001
Camina                                                                                                                                                                                                                                                        ,   3,   15.6863,    0.2000,   2,      12.6987822497, 5.24949021637e-002, 5.11535033584e-002, 3.82995986938e+001, 4.02130546570e+001, 8.55541899800e-002, 8.22677463293e-002,    0.0000,    0.3878,    0.0050,    0.2219,    0.3741,    0.0000,    0.0025,    0.0025, 4.47e+005, 7.86e+006,-6.95e+001,-1.94e+001
Pica                                                                                                                                                                                                                                                          ,   4,    1.6186,    0.1000,   1,       1.3092967037, 6.54807984829e-002, 6.34887441993e-002, 3.34661788940e+001, 3.56695365906e+001, 1.01692400873e-001, 9.85370650887e-002,    0.0000,    0.8366,    0.0151,    0.0610,    0.0132,    0.0000,    0.0031,    0.0534, 5.09e+005, 7.74e+006,-6.89e+001,-2.05e+001
Iquique                                                                                                                                                                                                                                                       ,   5,    3.7427,    8.1000,   3,       3.1145051620, 5.14532662928e-002, 5.16757108271e-002, 4.24732780457e+001, 3.67659492493e+001, 7.83194378018e-002, 7.99046233296e-002,    0.1606,    0.7268,    0.0278,    0.0667,    0.0035,    0.0000,    0.0014,    0.0063, 3.92e+005, 7.68e+006,-7.00e+001,-2.09e+001
Alto Hospicio                                                                                                                                                                                                                                                 ,   6,    2.7880,    1.4000,   2,       2.2639373368, 6.02526888251e-002, 6.12044148147e-002, 4.40779075623e+001, 4.05577392578e+001, 8.83852764964e-002, 9.09950956702e-002,    0.1338,    0.8234,    0.0060,    0.0130,    0.0024,    0.0000,    0.0016,    0.0073, 3.94e+005, 7.77e+006,-7.00e+001,-2.02e+001
Pozo Almonte                                                                                                                                                                                                                                                  ,   7,    3.6934,    0.4000,   3,       2.9912716642, 6.05401471257e-002, 6.14024363458e-002, 4.54254646301e+001, 4.50102233887e+001, 8.51573944092e-002, 8.87693762779e-002,    0.0002,    0.8616,    0.0195,    0.0710,    0.0278,    0.0000,    0.0008,    0.0100, 4.47e+005, 7.70e+006,-6.95e+001,-2.08e+001
Mejillones                                                                                                                                                                                                                                                    ,   8,    0.0000,    0.0000,   0,       0.0000000000, 4.68374118209e-002, 4.68073114753e-002, 4.32424430847e+001, 3.93715972900e+001, 6.97005540133e-002, 7.12260305882e-002,    0.0133,    0.9161,    0.0059,    0.0307,    0.0041,    0.0000,    0.0018,    0.0229, 3.77e+005, 7.46e+006,-7.02e+001,-2.29e+001
San Pedro de Atacama                                                                                                                                                                                                                                          ,   9,    8.0499,    0.4000,   1,       6.5219287459, 5.29583431780e-002, 4.99674938619e-002, 3.84075126648e+001, 3.25201721191e+001, 7.87360966206e-002, 7.42708668113e-002,    0.0005,    0.8423,    0.0343,    0.0300,    0.0406,    0.0000,    0.0010,    0.0377, 6.11e+005, 7.41e+006,-6.79e+001,-2.34e+001
Sierra Gorda                                                                                                                                                                                                                                                  ,  10,    0.0000,    0.0000,   0,       0.0000000000, 5.09353019297e-002, 5.12772239745e-002, 4.76798400879e+001, 4.04076347351e+001, 6.94149285555e-002, 7.33847022057e-002,    0.0000,    0.8394,    0.0064,    0.0428,    0.0086,    0.0000,    0.0128,    0.0878, 4.69e+005, 7.43e+006,-6.93e+001,-2.33e+001
Antofagasta                                                                                                                                                                                                                                                   ,  11,    8.4876,   25.2000,   5,       7.7304011103, 5.32929785550e-002, 5.28374761343e-002, 4.42638244629e+001, 3.72194557190e+001, 7.73518010974e-002, 7.83819109201e-002,    0.1338,    0.8234,    0.0060,    0.0131,    0.0024,    0.0000,    0.0016,    0.0073, 4.58e+005, 7.32e+006,-6.94e+001,-2.43e+001
Taltal                                                                                                                                                                                                                                                        ,  12,    1.8018,    0.2000,   1,       1.4577393234, 5.32282963395e-002, 5.31077198684e-002, 4.39813880920e+001, 3.61554222107e+001, 8.76450836658e-002, 8.88475552201e-002,    0.0000,    0.9079,    0.0055,    0.0450,    0.0071,    0.0000,    0.0015,    0.0188, 4.13e+005, 7.20e+006,-6.99e+001,-2.53e+001
Tocopilla                                                                                                                                                                                                                                                     ,  13,    0.8338,    0.2000,   1,       0.6740489182, 4.89055179060e-002, 4.89915087819e-002, 4.47154731750e+001, 4.10220146179e+001, 6.98679313064e-002, 7.27127715945e-002,    0.0452,    0.8947,    0.0069,    0.0313,    0.0042,    0.0000,    0.0020,    0.0063, 3.95e+005, 7.57e+006,-7.00e+001,-2.20e+001
Maria Elena                                                                                                                                                                                                                                                   ,  14,    1.3280,    0.1000,   1,       1.0741227802, 5.54652996361e-002, 5.59208281338e-002, 4.57384643555e+001, 4.38805656433e+001, 6.76135495305e-002, 7.14016035199e-002,    0.0015,    0.7482,    0.1607,    0.0231,    0.0011,    0.0000,    0.0000,    0.0160, 4.52e+005, 7.56e+006,-6.95e+001,-2.21e+001
Calama                                                                                                                                                                                                                                                        ,  15,   15.0287,   20.8000,   5,      13.4800820372, 4.59372587502e-002, 4.44817356765e-002, 3.85430870056e+001, 3.59841918945e+001, 6.93673565984e-002, 6.80242255330e-002,    0.0492,    0.8902,    0.0249,    0.0184,    0.0025,    0.0000,    0.0003,    0.0074, 5.38e+005, 7.55e+006,-6.86e+001,-2.22e+001
Ollague                                                                                                                                                                                                                                                       ,  16,    0.0000,    0.0000,   0,       0.0000000000, 4.38772998750e-002, 4.16984632611e-002, 3.38752746582e+001, 3.47359809875e+001, 6.98578581214e-002, 6.48596361279e-002,    0.0000,    0.5470,    0.0035,    0.0070,    0.3937,    0.0000,    0.0000,    0.0488, 5.71e+005, 7.63e+006,-6.83e+001,-2.15e+001
Chanaral                                                                                                                                                                                                                                                      ,  17,    8.1223,    1.1000,   3,       6.6006319365, 4.62642014027e-002, 4.69030402601e-002, 4.25055580139e+001, 3.60256156921e+001, 7.82473906875e-002, 8.30731391907e-002,    0.0177,    0.8936,    0.0043,    0.0393,    0.0238,    0.0000,    0.0026,    0.0094, 3.66e+005, 7.08e+006,-7.03e+001,-2.64e+001
Diego de Almagro                                                                                                                                                                                                                                              ,  18,   46.2639,    8.6000,   5,      39.0897465985, 4.11221869290e-002, 3.81994806230e-002, 4.04050025940e+001, 2.86235713959e+001, 6.67575448751e-002, 6.22371770442e-002,    0.0809,    0.8411,    0.0199,    0.0148,    0.0072,    0.0000,    0.0006,    0.0134, 4.81e+005, 7.10e+006,-6.92e+001,-2.62e+001
Caldera                                                                                                                                                                                                                                                       ,  19,    2.1844,    0.3000,   2,       1.7678555794, 4.84359562397e-002, 5.06639368832e-002, 3.94435157776e+001, 3.51825561523e+001, 7.38682597876e-002, 8.19907188416e-002,    0.0018,    0.7897,    0.0056,    0.1558,    0.0214,    0.0000,    0.0034,    0.0064, 3.33e+005, 7.00e+006,-7.07e+001,-2.71e+001
Copiapo                                                                                                                                                                                                                                                       ,  20,    7.8239,   10.1000,   7,       6.6175129970, 4.44232001901e-002, 4.21179831028e-002, 4.01085815430e+001, 3.22615585327e+001, 7.18783959746e-002, 6.94301053882e-002,    0.0340,    0.9034,    0.0080,    0.0362,    0.0073,    0.0000,    0.0012,    0.0047, 4.18e+005, 6.98e+006,-6.98e+001,-2.73e+001
Tierra Amarilla                                                                                                                                                                                                                                               ,  21,    9.3110,    1.2000,   4,       7.5708457552, 5.77485300601e-002, 5.03728128970e-002, 3.73312377930e+001, 2.82601585388e+001, 9.95755121112e-002, 8.60458165407e-002,    0.0000,    0.8482,    0.0154,    0.0871,    0.0154,    0.0000,    0.0006,    0.0236, 4.34e+005, 6.92e+006,-6.97e+001,-2.79e+001
Alto del Carmen                                                                                                                                                                                                                                               ,  22,  161.1570,    7.8000,   7,     135.7049843806, 6.49659261107e-002, 5.39531856775e-002, 3.40944366455e+001, 2.44021263123e+001, 1.11099354923e-001, 9.29838418961e-002,    0.0005,    0.7896,    0.0297,    0.0935,    0.0672,    0.0000,    0.0015,    0.0117, 3.88e+005, 6.79e+006,-7.02e+001,-2.90e+001
Freirina                                                                                                                                                                                                                                                      ,  23,    1.7649,    0.1000,   1,       1.4276555819, 5.77983595431e-002, 6.15360662341e-002, 3.83636169434e+001, 3.43249130249e+001, 1.05613760650e-001, 1.20011925697e-001,    0.0005,    0.8363,    0.0106,    0.0942,    0.0494,    0.0000,    0.0020,    0.0030, 2.86e+005, 6.81e+006,-7.12e+001,-2.88e+001
Vallenar                                                                                                                                                                                                                                                      ,  24,   14.3660,    6.9000,   8,      12.0067154127, 5.92377893627e-002, 5.96207045019e-002, 4.17547950745e+001, 3.65023460388e+001, 9.75557640195e-002, 9.95326340199e-002,    0.0207,    0.9112,    0.0140,    0.0307,    0.0124,    0.0000,    0.0015,    0.0055, 3.43e+005, 6.84e+006,-7.06e+001,-2.86e+001
Huasco                                                                                                                                                                                                                                                        ,  25,    5.0346,    0.4000,   1,       4.0782095577, 4.65999208391e-002, 4.64896000922e-002, 3.72356185913e+001, 3.49863891602e+001, 8.62246751785e-002, 9.14977267385e-002,    0.0003,    0.8644,    0.0122,    0.0765,    0.0270,    0.0000,    0.0016,    0.0048, 3.02e+005, 6.87e+006,-7.10e+001,-2.83e+001
La Serena                                                                                                                                                                                                                                                     ,  26,    1.0615,    1.7000,   4,       0.8573026214, 9.13032889366e-002, 1.20386995375e-001, 3.94302024841e+001, 3.38055305481e+001, 1.71160474420e-001, 2.36875623465e-001,    0.0569,    0.9034,    0.0051,    0.0201,    0.0050,    0.0000,    0.0010,    0.0050, 3.01e+005, 6.70e+006,-7.11e+001,-2.98e+001
La Higuera                                                                                                                                                                                                                                                    ,  27,    5.3749,    0.2000,   2,       4.3505637259, 6.75306618214e-002, 8.12270194292e-002, 3.97713966370e+001, 3.25248451233e+001, 1.22097231448e-001, 1.54047340155e-001,    0.0000,    0.7969,    0.0066,    0.1131,    0.0579,    0.0000,    0.0055,    0.0066, 3.15e+005, 6.75e+006,-7.09e+001,-2.94e+001
Vicuna                                                                                                                                                                                                                                                        ,  28,    2.4990,    0.6000,   2,       2.0242598610, 7.00863152742e-002, 6.00433014333e-002, 3.53851394653e+001, 2.31038761139e+001, 1.29087805748e-001, 1.14487528801e-001,    0.0038,    0.9215,    0.0071,    0.0366,    0.0187,    0.0000,    0.0018,    0.0046, 3.66e+005, 6.69e+006,-7.04e+001,-2.99e+001
Coquimbo                                                                                                                                                                                                                                                      ,  29,    0.7974,    1.3000,   2,       0.6425293979, 1.17525808513e-001, 1.61571562290e-001, 3.67431411743e+001, 3.31235198975e+001, 2.26133450866e-001, 3.26547175646e-001,    0.0361,    0.9216,    0.0060,    0.0217,    0.0032,    0.0000,    0.0004,    0.0056, 2.73e+005, 6.65e+006,-7.14e+001,-3.02e+001
Andacollo                                                                                                                                                                                                                                                     ,  30,    3.8880,    0.4000,   3,       3.1489678338, 8.83960947394e-002, 1.21881149709e-001, 4.10002479553e+001, 3.45117073059e+001, 1.82548180223e-001, 2.58390337229e-001,    0.0003,    0.9403,    0.0095,    0.0292,    0.0068,    0.0000,    0.0000,    0.0041, 2.98e+005, 6.65e+006,-7.11e+001,-3.03e+001
Rio Hurtado                                                                                                                                                                                                                                                   ,  31,    4.1920,    0.2000,   1,       3.3928682777, 8.26959758997e-002, 7.24796131253e-002, 3.65918502808e+001, 2.46758022308e+001, 1.57931968570e-001, 1.47068560123e-001,    0.0019,    0.8516,    0.0087,    0.0689,    0.0333,    0.0000,    0.0067,    0.0024, 3.41e+005, 6.63e+006,-7.07e+001,-3.04e+001
Paihuano                                                                                                                                                                                                                                                      ,  32,    2.3992,    0.1000,   1,       1.9409456798, 8.71483609080e-002, 4.41898442805e-002, 3.06829338074e+001, 1.74553222656e+001, 1.41965791583e-001, 8.73749256134e-002,    0.0017,    0.9006,    0.0326,    0.0320,    0.0116,    0.0000,    0.0022,    0.0116, 3.68e+005, 6.65e+006,-7.04e+001,-3.02e+001
Combarbala                                                                                                                                                                                                                                                    ,  33,    8.1584,    1.1000,   3,       6.6300301955, 1.04170598090e-001, 1.05995178223e-001, 3.94738693237e+001, 2.85779781342e+001, 1.92070901394e-001, 2.08421587944e-001,    0.0002,    0.8659,    0.0155,    0.0934,    0.0134,    0.0000,    0.0015,    0.0065, 3.13e+005, 6.55e+006,-7.10e+001,-3.11e+001
Monte Patria                                                                                                                                                                                                                                                  ,  34,   55.4895,   16.8000,   7,      48.9950908371, 1.07182160020e-001, 8.66196826100e-002, 3.56562919617e+001, 2.32945499420e+001, 1.98993057013e-001, 1.80502653122e-001,    0.0006,    0.8536,    0.0123,    0.1077,    0.0161,    0.0000,    0.0010,    0.0041, 3.42e+005, 6.59e+006,-7.07e+001,-3.08e+001
Ovalle                                                                                                                                                                                                                                                        ,  35,    3.4662,    3.4000,   7,       2.8352992015, 1.19986169040e-001, 1.49787530303e-001, 3.88581161499e+001, 3.27472076416e+001, 2.33532473445e-001, 3.03316771984e-001,    0.0271,    0.8916,    0.0078,    0.0550,    0.0085,    0.0000,    0.0004,    0.0024, 2.70e+005, 6.60e+006,-7.14e+001,-3.07e+001
Punitaqui                                                                                                                                                                                                                                                     ,  36,    5.2416,    0.5000,   3,       4.2476535749, 1.22404016554e-001, 1.49698570371e-001, 4.08517990112e+001, 3.43794822693e+001, 2.26216018200e-001, 2.94515728951e-001,    0.0005,    0.8797,    0.0072,    0.0930,    0.0139,    0.0000,    0.0003,    0.0032, 2.77e+005, 6.57e+006,-7.13e+001,-3.09e+001
Illapel                                                                                                                                                                                                                                                       ,  37,    2.6355,    0.8000,   2,       2.1361791836, 1.09514713287e-001, 1.26156672835e-001, 3.77591476440e+001, 2.56349353790e+001, 2.16553986073e-001, 2.67583400011e-001,    0.0137,    0.8932,    0.0077,    0.0654,    0.0074,    0.0000,    0.0008,    0.0069, 3.13e+005, 6.51e+006,-7.10e+001,-3.15e+001
Los Vilos                                                                                                                                                                                                                                                     ,  38,    2.8648,    0.5000,   2,       2.3204100546, 1.55659794807e-001, 2.45861887932e-001, 3.35834617615e+001, 2.66837062836e+001, 3.41341614723e-001, 5.07495880127e-001,    0.0007,    0.9271,    0.0059,    0.0417,    0.0096,    0.0000,    0.0007,    0.0125, 2.82e+005, 6.46e+006,-7.13e+001,-3.20e+001
Canela                                                                                                                                                                                                                                                        ,  39,   11.7283,    1.1000,   3,       9.5336252973, 1.11882656813e-001, 1.69089213014e-001, 3.84932861328e+001, 3.00718669891e+001, 2.26660728455e-001, 3.37490469217e-001,    0.0003,    0.8711,    0.0097,    0.0901,    0.0227,    0.0000,    0.0003,    0.0049, 2.72e+005, 6.52e+006,-7.14e+001,-3.14e+001
Salamanca                                                                                                                                                                                                                                                     ,  40,    7.7570,    1.9000,   3,       6.3254042648, 1.12283267081e-001, 8.16773176193e-002, 3.49454269409e+001, 2.16205062866e+001, 2.18908816576e-001, 1.99035540223e-001,    0.0161,    0.9071,    0.0061,    0.0505,    0.0052,    0.0000,    0.0000,    0.0098, 3.43e+005, 6.47e+006,-7.07e+001,-3.19e+001
La Ligua                                                                                                                                                                                                                                                      ,  41,    4.0642,    1.3000,   7,       3.3023065222, 1.92043140531e-001, 2.94024735689e-001, 3.24041213989e+001, 2.54365425110e+001, 4.12513941526e-001, 5.94961524010e-001,    0.0763,    0.8608,    0.0053,    0.0461,    0.0049,    0.0000,    0.0012,    0.0028, 2.86e+005, 6.42e+006,-7.13e+001,-3.24e+001
Petorca                                                                                                                                                                                                                                                       ,  42,   99.5763,    9.4000,   7,      84.5446697642, 1.32467910647e-001, 1.59885182977e-001, 3.73957328796e+001, 2.71661033630e+001, 2.62372255325e-001, 3.41419547796e-001,    0.0003,    0.9055,    0.0164,    0.0589,    0.0115,    0.0000,    0.0012,    0.0036, 3.24e+005, 6.44e+006,-7.09e+001,-3.22e+001
Cabildo                                                                                                                                                                                                                                                       ,  43,    6.3438,    1.2000,   5,       5.1562649371, 1.51471003890e-001, 1.99397370219e-001, 3.56048049927e+001, 2.62756404877e+001, 3.14630866051e-001, 4.34499025345e-001,    0.0467,    0.8950,    0.0069,    0.0406,    0.0039,    0.0000,    0.0004,    0.0037, 3.28e+005, 6.41e+006,-7.08e+001,-3.24e+001
Catemu                                                                                                                                                                                                                                                        ,  44,    3.3025,    0.4000,   2,       2.6744426275, 1.89600065351e-001, 2.24169507623e-001, 3.68392829895e+001, 2.79272518158e+001, 3.78087371588e-001, 4.59472209215e-001,    0.0014,    0.8988,    0.0106,    0.0752,    0.0060,    0.0000,    0.0011,    0.0014, 3.18e+005, 6.38e+006,-7.09e+001,-3.27e+001
Nogales                                                                                                                                                                                                                                                       ,  45,    3.6981,    0.8000,   3,       2.9990978293, 2.16991946101e-001, 2.78198629618e-001, 3.31809806824e+001, 2.42890758514e+001, 4.42283391953e-001, 5.85378408432e-001,    0.0007,    0.9270,    0.0064,    0.0560,    0.0037,    0.0000,    0.0008,    0.0022, 2.96e+005, 6.38e+006,-7.12e+001,-3.27e+001
Calera                                                                                                                                                                                                                                                        ,  46,    0.8080,    0.4000,   4,       0.6528159057, 2.51339167356e-001, 3.00602287054e-001, 3.20962600708e+001, 2.61620140076e+001, 4.88672673702e-001, 5.95202207565e-001,    0.1309,    0.8042,    0.0162,    0.0355,    0.0023,    0.0000,    0.0001,    0.0023, 2.98e+005, 6.37e+006,-7.12e+001,-3.28e+001
La Cruz                                                                                                                                                                                                                                                       ,  47,    3.1126,    0.4000,   3,       2.5205304711, 2.92661547661e-001, 3.32763075829e-001, 3.15338630676e+001, 2.52647018433e+001, 5.39433836937e-001, 6.26232683659e-001,    0.0514,    0.8762,    0.0119,    0.0519,    0.0018,    0.0000,    0.0005,    0.0010, 2.90e+005, 6.37e+006,-7.12e+001,-3.28e+001
Quillota                                                                                                                                                                                                                                                      ,  48,    1.8441,    1.4000,   5,       1.4950553114, 2.65716016293e-001, 3.33756208420e-001, 3.32982521057e+001, 2.58221778870e+001, 5.11556804180e-001, 6.33742868900e-001,    0.0896,    0.8683,    0.0053,    0.0237,    0.0025,    0.0000,    0.0003,    0.0071, 2.87e+005, 6.36e+006,-7.13e+001,-3.29e+001
Hijuelas                                                                                                                                                                                                                                                      ,  49,    1.2489,    0.2000,   1,       1.0101089370, 2.47207567096e-001, 2.95023173094e-001, 3.27114791870e+001, 2.51301479340e+001, 5.01202464104e-001, 6.03858232498e-001,    0.0000,    0.8952,    0.0093,    0.0836,    0.0037,    0.0000,    0.0002,    0.0011, 3.05e+005, 6.36e+006,-7.11e+001,-3.29e+001
Llaillay                                                                                                                                                                                                                                                      ,  50,    1.3861,    0.3000,   2,       1.1212158855, 2.06355690956e-001, 2.54497200251e-001, 3.75448646545e+001, 2.90411148071e+001, 3.81288111210e-001, 5.09654521942e-001,    0.0428,    0.8698,    0.0098,    0.0666,    0.0039,    0.0000,    0.0006,    0.0027, 3.22e+005, 6.36e+006,-7.09e+001,-3.29e+001
Putaendo                                                                                                                                                                                                                                                      ,  51,    4.7785,    0.7000,   4,       3.8750433645, 1.13757930696e-001, 7.76126533747e-002, 3.48272247314e+001, 2.16989555359e+001, 2.23474055529e-001, 2.01667010784e-001,    0.0000,    0.9231,    0.0085,    0.0532,    0.0085,    0.0000,    0.0002,    0.0040, 3.57e+005, 6.41e+006,-7.05e+001,-3.25e+001
San Esteban                                                                                                                                                                                                                                                   ,  52,    0.6944,    0.1000,   1,       0.5614330453, 1.07737608254e-001, 2.53319703043e-002, 3.11199817657e+001, 1.49674844742e+001, 2.04613074660e-001, 1.17016077042e-001,    0.0007,    0.9227,    0.0164,    0.0458,    0.0091,    0.0000,    0.0004,    0.0024, 3.74e+005, 6.38e+006,-7.03e+001,-3.27e+001
Santa Maria                                                                                                                                                                                                                                                   ,  53,    0.0000,    0.0000,   0,       0.0000000000, 2.16179907322e-001, 1.76225617528e-001, 3.59888420105e+001, 3.01334953308e+001, 3.79190862179e-001, 3.68451237679e-001,    0.0760,    0.8650,    0.0136,    0.0363,    0.0048,    0.0000,    0.0003,    0.0016, 3.49e+005, 6.38e+006,-7.06e+001,-3.27e+001
San Felipe                                                                                                                                                                                                                                                    ,  54,    3.7426,    2.4000,   4,       3.0521289119, 2.44082525373e-001, 2.22883209586e-001, 3.66416587830e+001, 2.99269084930e+001, 4.51814055443e-001, 4.33653324842e-001,    0.0916,    0.0916,    0.0072,    0.0285,    0.0022,    0.0000,    0.0014,    0.0037, 3.36e+005, 6.38e+006,-7.08e+001,-3.27e+001
Panquehue                                                                                                                                                                                                                                                     ,  55,    0.0000,    0.0000,   0,       0.0000000000, 3.03076356649e-001, 2.64586359262e-001, 3.40737457275e+001, 3.00386085510e+001, 4.88911628723e-001, 4.98320490122e-001,    0.0011,    0.8970,    0.0081,    0.0775,    0.0076,    0.0000,    0.0038,    0.0005, 3.29e+005, 6.37e+006,-7.08e+001,-3.28e+001
Rinconada                                                                                                                                                                                                                                                     ,  56,    2.9886,    0.2000,   2,       2.4186209420, 1.97599008679e-001, 2.17354819179e-001, 3.82281112671e+001, 3.12666435242e+001, 3.73706281185e-001, 4.36232477427e-001,    0.0005,    0.8904,    0.0152,    0.0818,    0.0045,    0.0000,    0.0030,    0.0035, 3.40e+005, 6.36e+006,-7.07e+001,-3.29e+001
Los Andes                                                                                                                                                                                                                                                     ,  57,    1.8273,    1.1000,   3,       1.4805958015, 6.47939592600e-002,-1.89217813313e-002, 2.61588191986e+001, 9.74486827850e+000, 1.36898443103e-001, 4.36256416142e-002,    0.1403,    0.8321,    0.0061,    0.0114,    0.0016,    0.0000,    0.0003,    0.0051, 3.84e+005, 6.35e+006,-7.02e+001,-3.30e+001
Calle Larga                                                                                                                                                                                                                                                   ,  58,   48.1093,    5.0000,   8,      39.9030616419, 1.91883206367e-001, 1.89929082990e-001, 3.64913063049e+001, 3.02072029114e+001, 3.34890574217e-001, 3.84392678738e-001,    0.0011,    0.8782,    0.0164,    0.1065,    0.0021,    0.0000,    0.0004,    0.0036, 3.56e+005, 6.35e+006,-7.05e+001,-3.30e+001
Papudo                                                                                                                                                                                                                                                        ,  59,    0.0000,    0.0000,   0,       0.0000000000, 1.92523568869e-001, 3.02703469992e-001, 2.91752986908e+001, 2.54528369904e+001, 4.02086049318e-001, 5.63194572926e-001,    0.1583,    0.7933,    0.0033,    0.0297,    0.0013,    0.0000,    0.0007,    0.0087, 2.76e+005, 6.40e+006,-7.14e+001,-3.25e+001
Zapallar                                                                                                                                                                                                                                                      ,  60,    0.0000,    0.0000,   0,       0.0000000000, 2.09991991520e-001, 3.42062979937e-001, 3.35642662048e+001, 2.52095088959e+001, 4.35668498278e-001, 6.33367300034e-001,    0.0485,    0.9089,    0.0023,    0.0248,    0.0015,    0.0000,    0.0008,    0.0062, 2.81e+005, 6.39e+006,-7.13e+001,-3.26e+001
Puchuncavi                                                                                                                                                                                                                                                    ,  61,    0.0000,    0.0000,   0,       0.0000000000, 1.92062228918e-001, 2.98355311155e-001, 3.26299476624e+001, 2.59518356323e+001, 4.23284769058e-001, 5.82837283611e-001,    0.1035,    0.8282,    0.0051,    0.0451,    0.0065,    0.0000,    0.0006,    0.0032, 2.76e+005, 6.37e+006,-7.14e+001,-3.27e+001
Quintero                                                                                                                                                                                                                                                      ,  62,    0.0000,    0.0000,   0,       0.0000000000, 1.90425172448e-001, 2.94568866491e-001, 3.20767555237e+001, 2.61067256927e+001, 3.83421152830e-001, 5.21082997322e-001,    0.0371,    0.8952,    0.0077,    0.0390,    0.0028,    0.0000,    0.0003,    0.0044, 2.68e+005, 6.36e+006,-7.15e+001,-3.28e+001
Concon                                                                                                                                                                                                                                                        ,  63,    1.8591,    0.6000,   4,       1.5051930004, 1.88769429922e-001, 2.86924868822e-001, 3.21655807495e+001, 2.68516273499e+001, 3.66967827082e-001, 5.22029221058e-001,    0.2637,    0.6998,    0.0056,    0.0181,    0.0013,    0.0000,    0.0003,    0.0033, 2.69e+005, 6.35e+006,-7.15e+001,-3.30e+001
Villa Alemana                                                                                                                                                                                                                                                 ,  64,    1.4641,    1.4000,   4,       0.0000000000, 2.15358376503e-001, 2.91690319777e-001, 3.44946022034e+001, 2.78944969177e+001, 4.17198449373e-001, 5.54043054581e-001,    0.0830,    0.8795,    0.0026,    0.0287,    0.0016,    0.0000,    0.0002,    0.0021, 2.82e+005, 6.34e+006,-7.13e+001,-3.31e+001
Vina del Mar                                                                                                                                                                                                                                                  ,  65,    2.6139,    7.5000,   5,       2.1584099637, 1.88186064363e-001, 2.47659146786e-001, 2.81750259399e+001, 2.60457267761e+001, 3.77140760422e-001, 4.59054380655e-001,    0.3658,    0.6019,    0.0055,    0.0164,    0.0009,    0.0000,    0.0005,    0.0060, 2.65e+005, 6.34e+006,-7.15e+001,-3.30e+001
Valparaiso                                                                                                                                                                                                                                                    ,  66,    0.1812,    0.5000,   2,       0.0000000000, 2.32951819897e-001, 2.77067333460e-001, 2.93844146729e+001, 2.26935100555e+001, 5.05557000637e-001, 5.78210890293e-001,    0.2015,    0.7474,    0.0174,    0.0205,    0.0014,    0.0000,    0.0002,    0.0081, 2.60e+005, 6.33e+006,-7.16e+001,-3.31e+001
Quilpue                                                                                                                                                                                                                                                       ,  67,    1.1666,    1.5000,   4,       0.0000000000, 2.41820141673e-001, 2.93626844883e-001, 3.22300643921e+001, 2.40740604401e+001, 4.94831293821e-001, 6.12380981445e-001,    0.1507,    0.8172,    0.0038,    0.0222,    0.0015,    0.0000,    0.0000,    0.0021, 2.90e+005, 6.33e+006,-7.13e+001,-3.31e+001
Olmue                                                                                                                                                                                                                                                         ,  68,    3.5448,    0.5000,   2,       2.8717960812, 2.43200585246e-001, 2.91860073805e-001, 3.02293243408e+001, 2.33634986877e+001, 5.26864171028e-001, 6.41992986202e-001,    0.0007,    0.9156,    0.0067,    0.0542,    0.0079,    0.0000,    0.0002,    0.0095, 3.03e+005, 6.34e+006,-7.11e+001,-3.30e+001
Algarrobo                                                                                                                                                                                                                                                     ,  69,    0.0000,    0.0000,   0,       0.0000000000, 2.09056630731e-001, 2.86980062723e-001, 2.97831192017e+001, 2.29633293152e+001, 4.14246708155e-001, 5.51464438438e-001,    0.1627,    0.8012,    0.0052,    0.0205,    0.0015,    0.0000,    0.0007,    0.0027, 2.58e+005, 6.31e+006,-7.16e+001,-3.33e+001
El Quisco                                                                                                                                                                                                                                                     ,  70,    0.0000,    0.0000,   0,       0.0000000000, 2.17041522264e-001, 2.68002361059e-001, 2.97529468536e+001, 1.99114227295e+001, 4.41397517920e-001, 5.05612134933e-001,    0.0155,    0.9425,    0.0036,    0.0190,    0.0030,    0.0000,    0.0003,    0.0111, 2.53e+005, 6.30e+006,-7.17e+001,-3.34e+001
